Peso	Fecha	Hora	Balanza
+18Kg	13-7-2015	9:38:4	1
+18Kg	13-7-2015	9:38:5	1
+18Kg	13-7-2015	9:38:6	1
+18Kg	13-7-2015	9:38:7	1
+18Kg	13-7-2015	9:38:8	1
+18Kg	13-7-2015	9:38:9	1
+18Kg	13-7-2015	9:38:10	1
+18Kg	13-7-2015	9:38:11	1
+18Kg	13-7-2015	9:38:12	1
+18Kg	13-7-2015	9:38:13	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:14	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:15	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
	13-7-2015	9:38:16	1
